% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=581791, Sun May  4 20:48:38 2025, <python>{}</python>
1 10 4.729395783645872 0 0 4.666887286533214 4.666565697444791 4.710694665395991 4.5953041271295865 4.947091678805642 4.767579214569302 4.754575812423946 4.574387417791569 4.777977012089063
2 20 4.971863480584107 0 0 4.858648012069816 5.000205996816454 5.152804089218461 4.878445968335173 5.186818292597272 4.9822805402927575 4.831256183753806 5.140237130397683 4.899769124206187
3 30 5.215170851535164 0 0 5.120982427786615 5.424697548232855 5.4374498021208995 5.057168306064065 5.233322407388296 5.262481916027666 4.968883915581874 5.545392950793362 5.1858267758381995
4 40 6.187162185119841 0 0 6.036397203665591 6.666666666666666 6.417208093287977 5.989453133085648 6.228344306081197 6.251619153259542 5.930777884349673 6.596278245057078 6.181086235289207
5 50 7.016625731425382 0 0 6.666666666666666 6.666666666666666 6.666666666666665 6.666666666666666 6.666666666666667 6.666666666666666 6.659147148616397 7.5668386719791965 6.832895449163193
6 60 7.696241901995027 0 0 6.666666666666665 6.666666666666666 6.666666666666665 6.666666666666665 6.666666666666666 6.666666666666666 7.147568663705985 8.500140896807356 7.462399292474894
7 70 8.086519126033775 0 0 6.666666666666667 6.666666666666665 6.666666666666666 6.666666666666666 6.666666666666665 6.666666666666665 7.478025841246775 9.04146214045359 7.793049473792848
8 80 7.932627977496721 0 0 6.480602957819473 6.50281406642666 6.441087826366523 6.3017305533266255 6.3536876739399695 6.503228023270561 7.304656731275509 8.849634671099961 7.525656606253464
9 90 8.038960748433878 0 0 6.5895281217833865 6.601309633982716 6.553388601248488 6.384223490252789 6.412414787636331 6.403598690156486 7.464237582418213 9.184984167875998 7.8641998944411045
10 100 8.75136500650139 0 0 6.666666666666665 6.666666666666666 6.666666666666665 6.666666666666667 6.666666666666666 6.666666666666666 8.100079995282327 10.20058827658646 8.400182398014579
11 110 8.679664557182237 0 0 6.512661602839592 6.617022424792083 6.643531931360688 6.519766640649344 6.4680272890475035 6.506702449604309 7.897896914827355 10.289651432666792 8.34561383961244
12 120 9.002319818500867 0 0 6.6181145582588945 6.666666666666665 6.666666666666667 6.571012742410355 6.587894587070516 6.442028394796951 8.262983941584288 11.539027407631627 8.493120065703778
13 130 9.459045582956675 0 0 6.666666666666665 6.666666666666666 6.666666666666666 6.666666666666667 6.616431994191456 6.666666666666667 8.497290906143025 12.843247729709242 9.072482448751627
14 140 9.795077769902534 0 0 6.666666666666665 6.666666666666666 6.666666666666667 6.666666666666666 6.622428896781454 6.666666666666664 8.980206546779183 13.305036850551362 9.512053536961654
15 150 10.220293246847222 0 0 6.666666666666667 6.666666666666665 6.666666666666666 6.666666666666665 6.29730643088139 6.666666666666666 9.460215196817348 14.13132957807265 9.797393351593394
16 160 11.359563985124241 0 0 6.666666666666666 6.666666666666666 6.666666666666666 6.666666666666665 6.666666666666667 6.666666666666665 10.554054228614413 15.666035997411079 10.845009506159984
17 170 12.292806720948816 0 0 6.666666666666667 6.666666666666665 6.666666666666666 6.666666666666666 6.666666666666667 6.666666666666666 11.63003764726165 15.739481372788953 11.633656328873501
18 180 13.33982143538429 0 0 6.666666666666666 6.666666666666667 6.666666666666666 6.666666666666665 6.666666666666667 6.666666666666667 12.46530455976309 17.0816569992706 12.778929199142233
19 190 13.97397303912906 0 0 6.666666666666665 6.666666666666667 6.666666666666666 6.666666666666665 6.666666666666666 6.609533442662406 13.061596922853216 17.83997912116357 13.544049815323566
20 200 16.404529155050486 0 0 6.666666666666667 6.666666666666666 6.666666666666666 6.666666666666665 6.666666666666666 6.666666666666667 15.985776263295538 21.168529076341553 16.044091928091547
21 210 19.27880152891938 0 0 6.666666666666665 6.666666666666665 6.666666666666666 6.666666666666665 6.666666666666667 6.666666666666667 18.774462784467524 25.00160722415186 19.270882012030945
22 220 22.891176747791196 0 0 6.666666666666667 6.666666666666666 6.666666666666667 6.666666666666665 6.666666666666666 6.666666666666664 21.67724538305616 31.060187788755872 22.855789673944738
23 230 24.887961785195635 0 0 6.666666666666666 6.666666666666666 6.666666666666666 6.666666666666666 6.666666666666665 6.666666666666665 23.471072618061527 34.11552316660462 25.148767373315117
24 240 27.09536433378024 0 0 6.666666666666665 6.666666666666666 6.666666666666665 6.666666666666666 6.666666666666667 6.666666666666666 24.516275980559097 36.752751402437866 28.51749795951086
25 250 29.984494168672896 0 0 6.666666666666667 6.666666666666666 6.666666666666667 6.666666666666665 6.666666666666667 6.666666666666665 27.452916482598216 38.94782152618583 31.510557203768272
26 260 31.512106306133685 0 0 6.666666666666667 6.666666666666666 6.666666666666666 6.666666666666665 6.666666666666666 6.666666666666666 28.656662882279242 40.57327999620057 34.07146143360012
27 270 29.679481971225524 0 0 6.2989985448553085 6.351080373020173 6.2361255829947675 6.249918674694405 6.108912465455568 6.192691142981731 26.335570095720243 37.543879649238946 31.332468705692772
28 280 26.167864171224753 0 0 5.505544089828928 5.639211586243961 5.495519608685234 5.426441911201051 5.218301853079844 5.562506148097593 23.446215027639294 32.918372374714636 27.547761873665472
29 290 24.524151008617675 0 0 5.249530297715177 5.178159336610584 5.221337204382906 5.069574572988593 4.609397897061147 5.113505686051127 21.82280865596069 30.726558415915793 25.654896198397797
30 300 23.38584638335548 0 0 5.020325191143212 4.859933189759904 4.952416443899338 4.883246301581016 4.34748592178776 4.774565241574069 20.44802147914868 29.117280971487325 24.054586999176028
31 310 22.090451740994343 0 0 4.713760866401841 4.70021510159077 4.598709692793011 4.547717157412163 4.0924416911426675 4.306381907817722 18.56201881903035 26.849514657935508 22.209073182105698
32 320 21.53394202302264 0 0 4.770419396633912 4.598653562807378 4.4767122511667505 4.424231116954589 3.8536852072764947 4.053513857033415 17.73864149074617 25.39405428875081 20.826499633300518
33 330 20.83130356278253 0 0 4.644549580251682 4.404553765399066 4.330001057541252 4.259621554267309 3.734001002004532 3.9474649812957296 16.983064773037864 24.151285521996414 19.538639847923175
34 340 20.75862883210651 0 0 4.740834112953653 4.562968886810227 4.276488460216276 4.405408965681551 3.4697162233640895 3.9407389132896125 17.25255894574332 24.02519408356975 19.678252752169538
