% # columns="iter, evals, sigma, 0, fitness, xbest" seed=503975, Sun May  4 15:47:48 2025, <python>{}</python>
1 10 5.182718567090486 0 176.47712298094567 2.5781655569724866 -2.9434952869517508 -0.07199871496619437 8.79842313352503 -3.8232323396736154 -0.6345336365138388 2.0296069951087348 3.6091880791467403 -8.479553143324708
2 20 5.878984738816349 0 176.47078227378924 -4.745655140207601 -1.4911809534154048 -2.440511852376474 6.432340095188938 -3.958470656450352 -4.242677745618396 10.81970423161176 2.0916355011918046 -18.334745383138994
3 30 6.923660686217696 0 176.0455768018989 -7.259940457074132 -2.185772972309487 -7.568676781667889 8.436863092236994 -9.994157896054546 -1.0770135326200858 5.212235912510897 2.4941680561563953 -32.25382973877099
4 40 8.052268862932896 0 175.65613543757226 -8.72632859925162 -2.500052885509166 -7.8476853181034 6.910690735654059 -7.883557957453529 3.3591074438955535 22.926231016570576 14.739690932494922 -34.82730183703115
5 50 8.052023945171577 0 175.9239271166661 -9.271272551261664 1.0775948334042738 -6.4457002242633665 5.508008497294124 -3.5828477443118514 2.5669252197790478 7.158609728267371 13.977532401739163 -31.5347247912981
6 60 9.585431200497762 0 174.292802276487 -1.1294134646005105 2.301876158924931 -4.022280813505331 0.27834834424962906 -7.8001793156281565 -9.191329863677188 0.1891375889813407 2.972243009077009 -49.520778358493125
7 70 10.950264860870213 0 174.4730287344608 -7.473604817499778 9.926470662557504 -7.96335578077375 0.5494317560139663 -7.297838539359878 -7.280241242311292 9.255008347527221 13.31608981915668 -68.94619801501511
8 80 11.33261146907958 0 174.27102655981975 -2.884329652911056 0.6193781874827469 -1.1218312014263514 5.076703565388868 0.33763702160088016 -9.643082153520924 35.79437105417482 6.608275468301017 -59.06654358597697
9 90 12.396237660893048 0 174.28167823293631 9.650654551716192 0.5816544627587359 -2.491489713441985 9.992262516653094 1.0447710017329541 -5.32478100600342 1.520793097811417 24.482867459546686 -53.58200662856321
10 100 11.473794509803355 0 174.45875992694604 -4.417453518993845 5.048502892889818 3.0313787082566206 9.504036090501026 -8.078832066570167 -3.8296980657669693 -3.8101288191715366 20.729721817876797 -50.240366343106686
11 110 11.813350394360244 0 173.73692929101588 9.615051516782415 4.7507451161333885 0.9351914865668545 6.516781950405897 -4.239238599358977 -3.4632374280716576 -3.7738503817526023 3.5860603589816904 -65.06091355286951
12 120 11.579943888016826 0 174.24667696203153 -4.840574884746211 -1.0990886150205732 8.488466310013653 7.305016560686685 0.4624720716185404 -0.6578099150988592 0.9022539676627419 16.857745587350372 -62.586022629686845
13 130 11.687688452699144 0 174.21113669252327 -2.8988314593100384 -6.67172998802269 6.462340743169328 9.894157730163869 -1.4857163467993741 -4.493083213261716 -8.496315660003058 17.358791352480132 -70.02850896105512
14 140 11.270105532474856 0 174.23724599064778 -8.540481185349828 -7.92464946323776 6.724842493345324 2.992617378019304 -2.622778894718942 -8.42622251706192 -10.212176318936415 20.26299456976239 -46.4248775599211
15 150 10.600452302532918 0 173.82844559923177 -5.371508138927459 -0.15129497461307206 4.34169235688874 9.99051887453139 -9.459238550537695 -8.9903992834613 2.332108951516155 25.97233240325997 -57.19976284095702
16 160 10.751912497425907 0 173.44206341093292 -8.726607530245829 -9.74551419762684 7.014573536841404 9.779002933111654 -9.936833071666952 -8.418550255134729 12.6859821353337 33.885329970540354 -80.9100608621599
17 170 12.074469835003345 0 174.33267036347902 -8.385740134208206 -9.67389290959569 0.49729483336507085 8.542090249034556 -3.835166455771809 -2.3534563243531323 23.735930652976748 36.27552612234401 -79.85559797132855
18 180 12.710025549816734 0 174.53610879558414 -8.128353333280824 -4.662700353987077 -2.2007097727642906 9.473440525376576 -6.609355191774705 -7.579610139389504 28.45785452223164 51.73990183184265 -82.23084070595282
19 190 13.54972540076462 0 174.54887435759684 -7.663273588474608 -7.1802442623475935 -4.1072981690898445 3.6734689354640153 0.11150208097329184 -7.215316897202633 34.890367520251694 32.16555499943434 -82.73476599922073
20 200 13.432644032088119 0 174.30852273252577 -7.622654513582415 -6.402850744307724 -9.483811377779968 1.7470671168572354 -8.160835672636697 -9.436807087818956 43.823025420743136 21.06693493594648 -98.25687604888911
21 210 12.059339208478631 0 173.99809897196388 -5.232324552613997 -9.656238834217357 -6.68225881526546 3.633676837031124 -8.814238685346862 -7.238919266060847 16.68675023464497 33.765920990598666 -53.68279951973643
22 220 13.514593883177529 0 173.99771391710914 0.20632068534621517 -9.099827798359492 -9.883879180552986 4.726836626596359 -9.566606068581688 -2.6335467648148736 36.74106475026279 72.90001518552322 -75.92581903613352
23 230 13.542002289848893 0 174.16183990083334 -9.830491974783786 3.979103637076257 -2.0079676414625496 8.629864813678086 -9.990595469251078 -5.380794473290409 20.94880149973796 34.56215013779244 -91.24863832297055
24 240 13.601253270276418 0 173.9950559963525 -3.3111148840162272 -2.943192371019645 0.8151908575278277 7.909869587365737 -6.508493310452666 -4.621268692738738 -9.577214985064707 34.57228764417594 -88.36422067538844
25 250 13.495508174641728 0 174.8443181499499 -6.281183924891135 -2.7256442238745606 -4.395013583272021 5.606048608001721 -6.313760637825805 -1.4393830907387866 25.985692976789522 46.437010869317 -94.80459562610721
26 260 13.677304864277243 0 174.57433160548632 -6.532099348180505 -8.59413835076051 -4.808412200096431 -1.2292610801951724 -9.558837637434785 6.955493985444235 -5.487167270824985 35.74131790052211 -92.85522245773046
27 270 13.24684093656881 0 174.6362819680083 -6.974908174363527 -4.383073412706361 -3.5913900188655994 3.623475138067537 -2.810611699345859 1.3953008522944117 12.623672763670184 17.809316612520906 -84.78120327045924
28 280 12.239670501595796 0 174.17676122689 1.4918608354951992 -9.134068707549506 3.22083514405783 9.03335000519771 -3.0356002508543085 2.6326249387522047 12.204653693580294 20.548420003663153 -99.91423386681883
29 290 12.275544893507542 0 173.99019256334725 8.633578598455017 -7.221401899233594 1.552681154108292 8.0493966375768 -8.687089968137949 8.597416380237963 21.308973927206612 37.78347234826464 -98.61258572217929
30 300 11.03077405403241 0 174.63679848670148 -1.2800694679077438 0.5915521636323193 -4.668281234290969 5.279887683620987 -6.869945311813774 -3.1716949738882256 2.875715904652366 35.70609194780837 -88.23618391985967
31 310 10.639943818468412 0 174.65233388691973 0.7330376912085619 3.6754301957853084 -1.2764399316625585 9.257968749300959 -7.874971663001691 -6.025485301859263 -1.9113321590329049 31.56132456294813 -88.59797186999074
32 320 11.372194602192522 0 174.08690319924298 4.177724423763024 8.968399325290314 -8.461205633225433 2.063835752628762 -5.048796796310425 2.2680013107374997 -9.592193917196076 33.52655041727918 -97.40629385619461
33 330 11.59662891617534 0 174.71854450992046 9.503379271502236 3.0073240843511875 -7.057221720965831 7.802463008983175 -8.774862631031407 -1.3877867020679524 -7.973393577590261 26.055715088040714 -98.75138174183921
34 340 11.593875925368062 0 174.6721818161422 7.355553536034158 4.492329165050441 -0.05518976886008531 9.787509449715206 -2.2918816661949712 -6.709082950129826 3.4113809698729103 23.936859233942677 -86.81242714866471
35 350 12.863567216111177 0 174.39754102630937 8.993206978367233 8.915151935299239 -0.3589087429363218 4.622248469911014 1.2788585816605256 -8.115764969038274 1.2129618558978503 22.53945784779926 -99.98769201451667
36 360 12.816040614271238 0 174.47281867585525 9.402754732493364 6.134538832132183 -0.9522366897891885 6.469060296491132 -1.485497345533446 -5.451989580282291 -32.49291258888797 4.224004470303745 -77.77413309449491
37 370 12.890515923402285 0 174.61161313416477 6.866260705915167 4.912265584907825 9.377624980339743 2.8883095515689767 -9.80207312529304 -3.4247047315250825 -14.540660411268407 20.82412489252414 -69.17660397668871
38 380 12.957925016332446 0 174.55285432202402 1.9401763012736666 2.805843976033998 4.177810948146629 4.113220308797446 -9.038689941139353 -3.20955986250806 -20.980528719294565 20.121611506708533 -67.85548467540961
39 390 11.876879571480634 0 174.78379002655214 5.571764844158128 6.371342955945984 -1.2846348131608494 3.410488318948964 -0.4733318456045552 -9.28018702705645 -28.51803126390419 24.171628607595693 -72.1121656279751
40 400 11.326205057751148 0 174.29334657233784 6.411061114955899 7.784981439558002 -1.1385307253474792 4.830220548685723 -9.526019646398588 -1.3821665418355806 -39.127591382928024 10.18323056934155 -87.3538733029433
41 410 11.067205569832895 0 174.56617068961134 8.628231305709349 3.6951036194113733 1.026674185625886 9.999711008278219 -5.244910216864469 -1.0880321298352857 -19.14591893851898 11.766551925285267 -80.4267783518674
42 420 9.92919097378629 0 174.94374248450404 5.544953030065113 8.753428856085877 0.49457898317726645 5.751939289956926 -4.341100211011955 -9.96046255388814 -33.14947734587575 19.01071154468682 -74.94043734650752
43 430 9.69831130503478 0 174.91946930903637 8.70285888916856 -1.8041015761631343 -4.947736306899241 6.617384693341737 -0.44418183794048005 -7.738255685989958 -46.15538589068819 1.160252889276153 -60.07083332004582
44 440 9.489290342484967 0 174.1426154114449 7.244080998061648 9.732587349451418 -2.026068102855895 6.370966570628918 -0.6886362275326618 -3.9387482106480993 -24.45126973304709 7.586436926168024 -88.23549233646864
45 450 9.49124144085546 0 174.68483450997823 4.110991856130056 9.94858588061121 -1.5372353821950924 7.990040189920629 3.797025499111612 -9.966440798565188 -45.433638740531414 12.407621883220083 -75.79391886496757
46 460 9.427129014064255 0 174.77143323329398 5.595191921419108 6.861177038263746 4.684917905209819 7.10021779664377 0.37297535328877274 -8.062343269531691 -42.48307090509437 10.349814123894001 -81.36401996953755
47 470 9.347068458470112 0 174.57269040823059 0.3607321769283729 3.729913209022442 -1.9931729421861668 7.153557758256607 -7.415837223030234 -1.083978215838136 -42.612934192675795 10.181023743211465 -62.80522897508535
48 480 9.896010215095602 0 174.68699726832688 -1.4390431200788072 9.487902080315887 -0.32731508070441606 1.4025340658825236 -6.326922202560658 0.7319071220600977 -22.980286416373367 2.5537946866974215 -85.38669716303724
49 490 9.646763857870912 0 174.00738922438543 1.2729550944048391 5.419425901133884 5.201158905723929 2.781835103436116 -2.126655102230913 -4.012631852339289 -42.86275875610437 3.9882262384100424 -59.996840963746564
50 500 10.630351480444467 0 174.28601399723527 -4.5466036528731735 8.779779978251607 6.347986934490187 2.929275741641941 -2.295150429357758 0.13480146694690642 -32.84249007940703 19.034458944357205 -69.54479356106123
51 510 10.804457015392467 0 174.76009038314152 -9.678071344154521 6.758984065390807 8.308578399421876 2.473618220523652 -4.238681030497279 -4.072801275854074 -15.807592408980913 19.221124780708223 -74.65227105872145
52 520 11.240354464327245 0 174.50322418028958 0.7229085278375926 7.242172739987373 7.2645616226763785 7.255378927310069 -7.842938447793912 -1.3593225463454963 -19.230459330596172 2.6544890886668817 -66.47264755639803
53 530 11.63559034199976 0 174.30306400788987 -8.863943042559487 7.306830925325331 8.26178469665604 1.4507037489671881 -9.999815539090408 -3.5685515965937205 -6.3530660012732465 19.206748301412343 -63.97139096671241
54 540 12.176785433558814 0 174.05660607190026 -1.2694781440276586 7.011307068731945 7.063303103516205 5.262669870277771 -4.171881242443707 -7.435557981179311 -2.238449643369835 17.62326310854021 -63.75579235210201
55 550 12.811387703161563 0 173.92050261338537 4.124086797709666 2.5654672937446383 9.191856804906656 4.4479234340721785 -2.026669098676418 -6.053583812632138 -3.586956328839806 17.42917463831664 -51.18334277671992
56 560 13.62309302662954 0 173.59033623064502 2.8387946959016936 6.460429268110346 -4.268535414215506 9.87702307813208 -7.811300676163729 -8.96014754892629 9.614612549944638 31.00586282423501 -65.96766036649774
57 570 13.715649314008457 0 174.2850665454333 -4.1585783874713655 8.96268366197653 5.920112857429707 7.217491557415258 -1.303208586593687 -7.241260470123741 -14.408170262933687 21.607496566574508 -51.75119124329966
58 580 13.311114986336548 0 174.7624954573572 1.0314550223990544 6.088230289079016 -3.39777746430196 9.991787581517457 -2.1114348480008154 -8.352250419938342 -39.6880714637236 13.930982246841074 -59.08678062348255
59 590 12.51837738220247 0 174.25675718070758 2.8919300981178715 -0.4513945074362695 9.995148225244623 3.5975100185555124 -5.081528613985743 1.0277314820061685 -37.18348548281297 -2.1989626561269944 -37.785319373446356
60 600 11.861085564236861 0 174.7046514905978 8.093860659208083 0.40511424983224487 7.041097165659885 9.430797405889722 -9.949725906410492 -1.5684610880771084 -14.874958589531571 10.193474339921256 -48.627172832624666
61 610 11.184122123119929 0 174.7052795680904 9.954952392144747 2.2929183267195263 3.7841160050247424 9.26661569385226 -9.732992176615298 1.8386840460686842 -20.441085564203025 8.056601654414003 -43.576823080577284
62 620 10.658921852105657 0 174.72340310325177 1.243934794742973 -0.16428335008513528 4.948672145706787 7.186009422255202 -8.17610085195177 6.457065007478616 -24.1645162621247 14.771488473084574 -49.28450486421844
